"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2022,31,31,0,0,0,0,0,36,28,18,0,0,0,31,0
"Akron, OH","10420",2022,90,73,17,0,0,0,0,84,60,37,0,0,27,63,0
"Albany, GA","10500",2022,88,46,37,4,1,0,0,151,84,48,0,0,0,88,0
"Albany, OR","10540",2022,90,77,13,0,0,0,0,70,54,22,0,0,0,90,0
"Albany-Schenectady-Troy, NY","10580",2022,120,99,21,0,0,0,0,83,56,40,0,0,82,38,0
"Albuquerque, NM","10740",2022,91,41,46,2,1,0,1,331,76,51,1,8,0,38,44
"Amarillo, TX","11100",2022,59,59,0,0,0,0,0,49,44,39,0,0,58,1,0
"Americus, GA","11140",2022,61,52,9,0,0,0,0,93,58,43,0,0,61,0,0
"Ann Arbor, MI","11460",2022,59,59,0,0,0,0,0,44,38,33,0,0,59,0,0
"Appleton, WI","11540",2022,31,26,5,0,0,0,0,74,53,37,0,0,0,31,0
"Ardmore, OK","11620",2022,90,78,11,1,0,0,0,136,58,26,0,0,21,69,0
"Arkadelphia, AR","11660",2022,57,56,1,0,0,0,0,51,42,33,0,0,57,0,0
"Ashtabula, OH","11780",2022,26,25,1,0,0,0,0,77,46,41,0,0,26,0,0
"Athens, OH","11900",2022,29,28,1,0,0,0,0,52,40,22,0,0,0,29,0
"Athens-Clarke County, GA","12020",2022,90,64,26,0,0,0,0,87,65,45,0,0,16,74,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2022,121,79,42,0,0,0,0,82,62,45,1,7,63,50,0
"Augusta-Richmond County, GA-SC","12260",2022,99,67,32,0,0,0,0,99,60,44,0,0,32,67,0
"Augusta-Waterville, ME","12300",2022,61,61,0,0,0,0,0,50,44,40,0,0,61,0,0
"Austin-Round Rock, TX","12420",2022,32,25,7,0,0,0,0,66,53,40,1,2,13,16,0
"Bakersfield, CA","12540",2022,90,28,44,16,2,0,0,152,127,64,0,0,0,90,0
"Baltimore-Columbia-Towson, MD","12580",2022,120,94,26,0,0,0,0,67,59,44,0,6,70,44,0
"Bangor, ME","12620",2022,150,143,7,0,0,0,0,69,46,36,0,0,91,59,0
"Baraboo, WI","12660",2022,31,26,5,0,0,0,0,74,51,33,0,0,0,31,0
"Barnstable Town, MA","12700",2022,59,59,0,0,0,0,0,48,40,37,0,0,59,0,0
"Baton Rouge, LA","12940",2022,121,73,47,1,0,0,0,115,77,46,1,0,95,25,0
"Beatrice, NE","13100",2022,119,118,1,0,0,0,0,76,33,15,0,0,0,119,0
"Beaumont-Port Arthur, TX","13140",2022,31,27,4,0,0,0,0,65,51,38,0,1,19,11,0
"Beaver Dam, WI","13180",2022,32,28,4,0,0,0,0,80,54,36,1,0,14,17,0
"Bellingham, WA","13380",2022,1,1,0,0,0,0,0,10,10,10,0,0,0,1,0
"Bend-Redmond, OR","13460",2022,90,85,5,0,0,0,0,61,34,17,0,0,0,90,0
"Billings, MT","13740",2022,31,30,1,0,0,0,0,54,38,23,0,0,0,31,0
"Bishop, CA","13860",2022,89,86,2,1,0,0,0,105,47,40,0,0,80,9,0
"Bismarck, ND","13900",2022,101,97,4,0,0,0,0,60,42,35,1,1,71,28,0
"Blacksburg-Christiansburg-Radford, VA","13980",2022,58,57,1,0,0,0,0,54,44,35,0,0,58,0,0
"Bloomington, IL","14010",2022,90,68,22,0,0,0,0,76,58,38,0,0,20,70,0
"Bloomington, IN","14020",2022,35,31,4,0,0,0,0,81,51,30,0,0,0,35,0
"Boston-Cambridge-Newton, MA-NH","14460",2022,60,42,18,0,0,0,0,69,63,45,1,2,19,38,0
"Boulder, CO","14500",2022,120,95,25,0,0,0,0,90,63,44,0,0,94,25,1
"Bowling Green, KY","14540",2022,91,90,1,0,0,0,0,51,46,34,3,0,88,0,0
"Bozeman, MT","14580",2022,91,85,6,0,0,0,0,65,40,12,2,20,0,69,0
"Bremerton-Silverdale, WA","14740",2022,31,28,3,0,0,0,0,55,49,28,0,0,0,31,0
"Brownsville-Harlingen, TX","15180",2022,59,49,10,0,0,0,0,74,56,40,0,0,36,23,0
"Brunswick, GA","15260",2022,90,66,23,1,0,0,0,106,65,40,0,0,12,78,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2022,121,91,30,0,0,0,0,81,62,41,1,4,61,55,0
"Butte-Silver Bow, MT","15580",2022,31,17,14,0,0,0,0,94,91,45,0,0,0,23,8
"Cadillac, MI","15620",2022,56,56,0,0,0,0,0,43,39,35,0,0,56,0,0
"Cambridge, MD","15700",2022,90,88,2,0,0,0,0,58,45,38,0,0,90,0,0
"Canton-Massillon, OH","15940",2022,90,66,24,0,0,0,0,96,65,40,0,0,20,70,0
"Cape Coral-Fort Myers, FL","15980",2022,90,77,13,0,0,0,0,80,54,41,0,0,65,25,0
"Carlsbad-Artesia, NM","16100",2022,90,87,3,0,0,0,0,97,48,43,0,0,90,0,0
"Ca?on City, CO","15860",2022,24,24,0,0,0,0,0,19,15,8,0,0,0,0,24
"Cedar City, UT","16260",2022,120,110,10,0,0,0,0,80,47,40,0,11,103,6,0
"Cedar Rapids, IA","16300",2022,120,99,21,0,0,0,0,75,54,40,0,0,46,74,0
"Centralia, WA","16500",2022,31,27,4,0,0,0,0,56,51,27,0,0,0,31,0
"Champaign-Urbana, IL","16580",2022,90,78,12,0,0,0,0,66,52,36,0,0,47,43,0
"Charleston, WV","16620",2022,91,82,9,0,0,0,0,90,50,40,1,0,45,45,0
"Charleston-North Charleston, SC","16700",2022,120,100,20,0,0,0,0,84,56,38,0,1,43,76,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2022,121,95,26,0,0,0,0,80,58,44,1,0,73,47,0
"Charlottesville, VA","16820",2022,86,76,10,0,0,0,0,59,52,38,0,0,25,61,0
"Chattanooga, TN-GA","16860",2022,85,47,38,0,0,0,0,100,68,47,0,0,21,64,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2022,96,57,39,0,0,0,0,96,68,48,1,8,15,66,6
"Chico, CA","17020",2022,37,19,18,0,0,0,0,78,71,43,1,0,8,28,0
"Cincinnati, OH-KY-IN","17140",2022,91,48,43,0,0,0,0,98,65,49,1,6,19,61,4
"Claremont-Lebanon, NH-VT","17200",2022,58,58,0,0,0,0,0,42,37,34,0,0,58,0,0
"Clarksville, TN-KY","17300",2022,56,55,1,0,0,0,0,58,42,33,0,0,56,0,0
"Cleveland, MS","17380",2022,90,84,6,0,0,0,0,84,48,37,0,0,27,63,0
"Cleveland-Elyria, OH","17460",2022,91,51,40,0,0,0,0,95,74,48,1,2,23,62,3
"Clinton, IA","17540",2022,119,76,42,1,0,0,0,107,65,40,0,0,32,87,0
"College Station-Bryan, TX","17780",2022,31,30,1,0,0,0,0,53,45,27,0,0,0,31,0
"Colorado Springs, CO","17820",2022,121,107,14,0,0,0,0,100,51,44,1,0,117,3,0
"Columbia, MO","17860",2022,31,29,2,0,0,0,0,54,49,40,0,0,31,0,0
"Columbia, SC","17900",2022,120,101,19,0,0,0,0,70,56,38,0,0,52,68,0
"Columbus, GA-AL","17980",2022,90,61,28,1,0,0,0,106,73,44,0,0,18,72,0
"Columbus, OH","18140",2022,91,62,29,0,0,0,0,92,65,41,1,2,23,65,0
"Corning, NY","18500",2022,121,115,6,0,0,0,0,67,48,39,1,0,93,27,0
"Corpus Christi, TX","18580",2022,59,52,7,0,0,0,0,62,53,39,0,0,39,20,0
"Corsicana, TX","18620",2022,31,30,1,0,0,0,0,61,45,33,0,1,25,5,0
"Corvallis, OR","18700",2022,90,79,11,0,0,0,0,64,52,22,0,0,0,90,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2022,90,85,5,0,0,0,0,84,49,37,0,0,90,0,0
"Dallas-Fort Worth-Arlington, TX","19100",2022,32,24,8,0,0,0,0,76,58,41,1,6,14,11,0
"Dalton, GA","19140",2022,28,22,6,0,0,0,0,97,71,44,0,0,28,0,0
"Danville, VA","19260",2022,90,90,0,0,0,0,0,14,8,3,0,90,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2022,19,19,0,0,0,0,0,48,45,24,0,0,0,19,0
"Davenport-Moline-Rock Island, IA-IL","19340",2022,121,94,27,0,0,0,0,76,61,40,1,0,59,47,14
"Dayton, OH","19380",2022,121,92,29,0,0,0,0,86,58,41,1,0,61,59,0
"Decatur, AL","19460",2022,59,50,9,0,0,0,0,74,54,35,0,0,0,59,0
"Decatur, IL","19500",2022,90,71,19,0,0,0,0,72,57,40,0,0,18,72,0
"Deming, NM","19700",2022,90,77,9,3,0,0,1,775,60,16,0,0,0,0,90
"Denver-Aurora-Lakewood, CO","19740",2022,121,56,65,0,0,0,0,97,71,52,1,27,72,13,8
"Des Moines-West Des Moines, IA","19780",2022,151,136,15,0,0,0,0,68,50,34,0,11,50,89,1
"Dickinson, ND","19860",2022,90,90,0,0,0,0,0,44,40,34,0,0,83,7,0
"Douglas, GA","20060",2022,20,17,3,0,0,0,0,63,53,31,0,0,0,20,0
"Duluth, MN-WI","20260",2022,90,90,0,0,0,0,0,47,41,34,0,0,90,0,0
"Durango, CO","20420",2022,121,108,13,0,0,0,0,100,51,45,1,0,118,2,0
"Eagle Pass, TX","20580",2022,57,56,1,0,0,0,0,51,36,21,0,0,0,57,0
"Eau Claire, WI","20740",2022,31,26,5,0,0,0,0,67,54,38,0,0,0,31,0
"Effingham, IL","20820",2022,31,31,0,0,0,0,0,47,44,37,0,0,31,0,0
"El Centro, CA","20940",2022,149,104,36,3,1,3,2,733,74,37,0,0,0,50,99
"El Paso, TX","21340",2022,60,40,20,0,0,0,0,94,58,44,1,11,23,25,0
"Elizabethtown-Fort Knox, KY","21060",2022,10,10,0,0,0,0,0,43,43,30,0,0,0,10,0
"Ellensburg, WA","21260",2022,31,11,19,0,1,0,0,151,89,58,0,0,0,31,0
"Eugene, OR","21660",2022,90,50,40,0,0,0,0,93,67,43,0,0,0,90,0
"Evansville, IN-KY","21780",2022,28,26,2,0,0,0,0,93,50,33,0,0,0,28,0
"Fargo, ND-MN","22020",2022,90,87,3,0,0,0,0,55,41,34,0,5,66,19,0
"Farmington, NM","22140",2022,90,86,3,1,0,0,0,119,46,40,0,2,85,0,3
"Fayetteville-Springdale-Rogers, AR-MO","22220",2022,90,83,6,1,0,0,0,108,48,38,0,0,90,0,0
"Flagstaff, AZ","22380",2022,90,88,2,0,0,0,0,54,48,44,0,0,90,0,0
"Florence, SC","22500",2022,100,90,10,0,0,0,0,62,51,35,0,0,38,62,0
"Fort Collins, CO","22660",2022,121,93,28,0,0,0,0,87,64,48,1,0,111,9,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2022,26,23,3,0,0,0,0,72,57,32,0,0,0,26,0
"Fort Payne, AL","22840",2022,59,55,4,0,0,0,0,71,47,34,0,0,51,8,0
"Fort Smith, AR-OK","22900",2022,90,77,12,1,0,0,0,122,55,35,0,8,23,59,0
"Fort Wayne, IN","23060",2022,26,24,2,0,0,0,0,60,48,27,0,0,0,26,0
"Fresno, CA","23420",2022,120,55,56,9,0,0,0,145,91,53,0,0,60,59,1
"Gadsden, AL","23460",2022,56,48,8,0,0,0,0,73,55,32,0,0,0,56,0
"Gainesville, FL","23540",2022,90,82,8,0,0,0,0,84,50,39,0,0,61,29,0
"Gainesville, GA","23580",2022,90,68,22,0,0,0,0,76,58,37,0,0,0,90,0
"Gettysburg, PA","23900",2022,59,59,0,0,0,0,0,45,39,33,0,0,59,0,0
"Gillette, WY","23940",2022,90,90,0,0,0,0,0,49,43,37,0,0,86,4,0
"Glenwood Springs, CO","24060",2022,18,18,0,0,0,0,0,17,15,6,0,0,0,0,18
"Grand Island, NE","24260",2022,147,141,6,0,0,0,0,55,44,19,0,0,0,147,0
"Grand Junction, CO","24300",2022,72,63,8,1,0,0,0,108,52,21,0,0,0,61,11
"Grants Pass, OR","24420",2022,90,47,41,2,0,0,0,125,89,47,0,0,0,90,0
"Great Falls, MT","24500",2022,31,31,0,0,0,0,0,49,21,11,0,0,0,31,0
"Greeley, CO","24540",2022,121,87,34,0,0,0,0,84,61,44,1,6,82,32,0
"Green Bay, WI","24580",2022,31,27,4,0,0,0,0,64,53,37,0,0,0,31,0
"Greenfield Town, MA","24640",2022,59,41,18,0,0,0,0,69,62,41,0,0,17,42,0
"Greenville-Anderson-Mauldin, SC","24860",2022,118,86,32,0,0,0,0,88,60,43,0,0,37,81,0
"Guayama, PR","25020",2022,13,13,0,0,0,0,0,42,17,10,0,0,0,0,13
"Gulfport-Biloxi-Pascagoula, MS","25060",2022,90,65,24,1,0,0,0,101,60,43,0,1,23,66,0
"Hagerstown-Martinsburg, MD-WV","25180",2022,87,79,8,0,0,0,0,79,49,34,0,0,30,57,0
"Hanford-Corcoran, CA","25260",2022,120,92,27,1,0,0,0,107,61,44,0,0,70,0,50
"Harrison, AR","25460",2022,89,83,5,1,0,0,0,105,47,38,0,0,89,0,0
"Harrisonburg, VA","25500",2022,90,86,4,0,0,0,0,67,46,32,0,46,28,16,0
"Hattiesburg, MS","25620",2022,90,63,26,1,0,0,0,105,61,39,0,0,0,90,0
"Helena, MT","25740",2022,32,22,10,0,0,0,0,71,57,41,1,0,14,17,0
"Hermiston-Pendleton, OR","25840",2022,88,80,8,0,0,0,0,92,48,23,0,0,0,88,0
"Hilo, HI","25900",2022,85,85,0,0,0,0,0,38,28,9,0,0,0,85,0
"Hobbs, NM","26020",2022,88,81,7,0,0,0,0,78,48,21,0,0,0,88,0
"Homosassa Springs, FL","26140",2022,90,82,8,0,0,0,0,61,50,34,0,0,0,90,0
